38,"African Business and Transportations",\N,"","ABB","AFRICAN BUSINESS-","Democratic Republic of the Congo","N"
39,"Aban Air",\N,"K5","ABE","ABAN","Iran","n"
40,"Aerial Oy",\N,"","ABF","SKYWINGS","Finland","N"
41,"Abakan-Avia",\N,"","ABG","ABAKAN-AVIA","Russia","N"
42,"ABSA - Aerolinhas Brasileiras",\N,"M3","TUS","ABSA Cargo","Brazil","Y"
43,"Abaet",\N,"","ABJ","Abaet","Brazil","N"
44,"Alberta Citylink",\N,"","ABK","ALBERTA CITYLINK","Canada","N"
45,"APSA Colombia",\N,"","ABO","AEROEXPRESO","Colombia","N"
46,"Aerovias Bueno",\N,"","ABU","AEROBUENO","Colombia","N"
47,"Aerocenter",\N,"","ACR"," Escuela de Formacion de Pioltos Privados de Avion","AEROCENTER","N"
48,"Antrak Air",\N,"04","ABV","ANTRAK","Ghana","N"
49,"Airborne Express",\N,"GB","ABX","ABEX","United States","N"
50,"ABX Air",\N,"GB","ABX","ABEX","United States","N"
51,"ATA Brasil",\N,"","ABZ","ATA-BRAZIL","Brazil","N"
52,"Avcard Services",\N,"","ACC","","United Kingdom","N"
53,"Academy Airlines",\N,"","ACD","ACADEMY","United States","N"
54,"Aero Comondu",\N,"","ACO","AERO COMONDU","Mexico","N"
55,"Astral Aviation",\N,"8V","ACP","ASTRAL CARGO","Kenya","Y"
56,"Air Cess",\N,"","ACS","","Liberia","N"
57,"Air Aurora",\N,"","AAI","BOREALIS","United States","N"
58,"Air Cargo Transportation System",\N,"","ACU","AFRISPIRIT","Kenya","N"
59,"Air Charter Service",\N,"","ACV","","United Kingdom","N"
60,"Aero Asia International",\N,"E4","RSO","AERO ASIA","Pakistan","N"
61,"Air Charters",\N,"","ACX","PARAIR","Canada","N"
62,"Air Togo",\N,"YT","TGA","AIR TOGO","Togo","N"
63,"Air Somalia",\N,"","RSM","AIR SOMALIA","Somali Republic","N"
64,"Atlas Cargo Lines",\N,"","ACY","ATLAS CARGOLINES","Morocco","N"
65,"Airservices Australia",\N,"","ADA","AUSCAL","Australia","N"
66,"Advance Leasing Company",\N,"4G","","","United States","N"
67,"Aztec Worldwide Airlines",\N,"7A","","","United States","N"
68,"Air Tindi",\N,"8T","","","Canadian Territories","Y"
69,"Antonov Airlines",\N,"","ADB","ANTONOV BUREAU","Ukraine","N"
70,"Air Atlantic Dominicana",\N,"","ADC","ATLAN-DOMINICAN","Dominican Republic","N"
71,"Advanced Air Co.",\N,"","ADD","","Japan","N"
72,"Ada Air",\N,"ZY","ADE","ADA AIR","Albania","Y"
73,"Aerea Flying Training Organization",\N,"","ADG","AEREA TRAINING","Spain","N"
74,"Audeli Air",\N,"","ADI","AUDELI","Spain","N"
75,"Abicar",\N,"","ADJ","ABICAR","Ivory Coast","N"
76,"ADC Airlines",\N,"Z7","ADK","ADCO","Nigeria","N"
77,"Aero Dynamics",\N,"","ADL","COTSWOLD","United Kingdom","N"
78,"Aerolineas Dominicanas",\N,"","ADM","DOMINAIR","Dominican Republic","N"
79,"Aerodienst GmbH",\N,"","ADN","AERODIENST","Germany","N"
80,"Aerodiplomatic",\N,"","ADP","AERODIPLOMATIC","Mexico","N"
81,"Aerodyne",\N,"","ADY","AERODYNE","United States","N"
82,"Avion Taxi",\N,"","ADQ","AIR DATA","Canada","N"
83,"Adria Airways",\N,"JP","ADR","ADRIA","Slovenia","Y"
84,"Aviones de Sonora",\N,"","ADS","SONORAV","Mexico","N"
85,"Air Dorval",\N,"","ADT","AIR DORVAL","Canada","N"
86,"Airdeal Oy",\N,"","ADU","AIRDEAL","Finland","N"
87,"Advance Air Charters",\N,"","ADV","ADVANCE","Canada","N"
88,"Air Andaman",\N,"","ADW","AIR ANDAMAN","Thailand","N"
89,"Anderson Aviation",\N,"","ADX","ANDAX","United States","N"
90,"Air Europa",\N,"UX","AEA","EUROPA","Spain","Y"
91,"Air Southwest Ltd.",\N,"","ASW","AIRSOUTHWEST","Canada","N"
92,"Air Special",\N,"","ASX","AIRSPEC","Czech Republic","N"
93,"Aero Benin",\N,"EM","AEB","AEROBEN","Benin","Y"
94,"Aerocesar",\N,"","AEC"," Aerovias Del Cesar","AEROCESAR","N"
95,"Aerotrans Airlines",\N,"","AED","","Russia","N"
96,"Aegean Airlines",\N,"A3","AEE","AEGEAN","Greece","Y"
97,"Aerofumigaciones Sam",\N,"","AEG","FUMIGACIONES SAM","Chile","N"
98,"Aeroexpreso Interamericano",\N,"","AEI","INTERAM","Colombia","N"
99,"Air Express",\N,"","AEJ","KHAKI EXPRESS","Tanzania","N"
100,"Aerocon",\N,"","AEK","AEROCON","Bolivia","N"
101,"Aero Madrid",\N,"","AEM","AEROMADRID","Spain","N"
102,"Aeroenlaces Nacionales",\N,"","AEN","","Mexico","N"
103,"Aeroservicios Ejecutivos Del Occidente",\N,"","AEO","AERO OCCIDENTE","Mexico","N"
104,"Aerotec",\N,"","AEP","AEROTEC","Spain","N"
105,"Air Atlantique",\N,"KI","AAG","ATLANTIC","United Kingdom","N"
106,"Air Europe",\N,"PE","AEL","AIR EUROPE","Italy","Y"
107,"Air Alma",\N,"","AAJ","AIR ALMA","Canada","N"
108,"Air Express",\N,"","AEQ","LUNA","Sweden","N"
109,"Alaska Central Express",\N,"KO","AER","ACE AIR","United States","Y"
110,"ACES Colombia",\N,"","AES","ACES","Colombia","Y"
111,"Aeronautical Radio of Thailand",\N,"","AET","AEROTHAI","Thailand","N"
112,"Astraeus",\N,"5W","AEU","FLYSTAR","United Kingdom","Y"
113,"Aeroventas",\N,"","AEV","AEROVENTAS","Mexico","N"
114,"Aerosvit Airlines",\N,"VV","AEW","AEROSVIT","Ukraine","Y"
115,"Airway Express",\N,"","AEX","AVCO","United States","N"
116,"Air Italy",\N,"I9","AEY","AIR ITALY","Italy","Y"
117,"Aerial Transit Company",\N,"","AEZ","AERIAL TRANZ","United States","N"
118,"Alfa Air",\N,"","AFA","BLUE ALFA","Czech Republic","N"
119,"American Falcon",\N,"WK","AFB","AMERICAN FALCON","Argentina","N"
120,"Alliance Airlines",\N,"QQ","UTY","UNITY","Australia","Y"
121,"Air Universal",\N,"","UVS","UNI-LEONE","Sierra Leone","N"
122,"Auvia Air",\N,"","UVT","AUVIA","Indonesia","N"
123,"African West Air",\N,"","AFC","AFRICAN WEST","Senegal","N"
124,"Airfast Indonesia",\N,"","AFE","AIRFAST","Indonesia","N"
125,"Ariana Afghan Airlines",\N,"FG","AFG","ARIANA","Afghanistan","Y"
126,"Air Fecteau",\N,"","AFH","FECTO","Canada","N"
127,"Africaone",\N,"","AFI","AFRICAWORLD","Uganda","N"
128,"Alliance",\N,"","AFJ","JAMBO","Uganda","N"
129,"Africa Air Links",\N,"","AFK","AFRICA LINKS","Sierra Leone","N"
130,"Aeroflot Russian Airlines",\N,"SU","AFL","AEROFLOT","Russia","Y"
131,"Aero Empresa Mexicana",\N,"","AFO","AERO EMPRESA","Mexico","N"
132,"Air Bosna",\N,"JA","BON","AIR BOSNA","Bosnia and Herzegovina","Y"
133,"Air Bravo",\N,"","BRF","AIR BRAVO","Uganda","N"
134,"Air Brasd'or",\N,"","BRL","BRASD'OR","Canada","N"
135,"Air 500",\N,"","BRM","BOOMERANG","Canada","N"
136,"Alba Servizi Aerotrasporti",\N,"","AFQ","ALBA","Italy","N"
137,"Air France",\N,"AF","AFR","AIRFRANS","France","Y"
138,"Air Partner",\N,"","ACG","AIR PARTNER","United Kingdom","N"
139,"Air Caledonie International",\N,"SB","ACI","AIRCALIN","France","Y"
140,"Air Caledonia",\N,"","ACM","WEST CAL","Canada","N"
141,"Air Guam",\N,"","AGM","AIR GUAM","United States","N"
142,"Air Gabon",\N,"GN","AGN","GOLF NOVEMBER","Gabon","N"
143,"Air Data",\N,"","AFS","","United Kingdom","N"
144,"Air Afrique Vacancies",\N,"","AFV","AFRIQUE VACANCE","Ivory Coast","N"
145,"Air Cargo America",\N,"","MVM","PEGASUS","United States","N"
146,"Air Salone",\N,"2O","","","Sierra Leone","Y"
147,"Air-Angol",\N,"","NGO","AIR ANGOL","Angola","N"
148,"Air Nigeria",\N,"","NGP","REGAL EAGLE","Nigeria","N"
149,"Air Cargo Carriers",\N,"2Q","SNC","NIGHT CARGO","United States","Y"
150,"Air Samarkand",\N,"","SND","ARSAM","Uzbekistan","N"
151,"Air Senegal International",\N,"V7","SNG","AIR SENEGAL","Senegal","N"
152,"Air Sandy",\N,"","SNY","AIR SANDY","Canada","N"
153,"Air Namibia",\N,"SW","NMB","NAMIBIA","Namibia","Y"
154,"Air Intersalonika",\N,"","NSK","INTERSALONIKA","Greece","N"
155,"Air Anatolia",\N,"","NTL","AIR ANATOLIA","Turkey","N"
156,"Air Saigon",\N,"","SGA","AIR SAIGON","Vietnam","N"
157,"Afrique Regional Airways",\N,"","AFW","AFRAIR","Ivory Coast","N"
158,"Airfreight Express",\N,"","AFX"," ","United Kingdom","N"
159,"Africa Chartered Services",\N,"","AFY","AFRICA CHARTERED","Nigeria","N"
160,"Africa Freight Services",\N,"","AFZ","AFREIGHT","Zambia","N"
161,"Aeronaves Del Centro",\N,"","AGA","","Venezuela","N"
162,"Air Service Gabon",\N,"G8","AGB","","Gabon","N"
163,"Arab Agricultural Aviation Company",\N,"","AGC","AGRICO","Egypt","N"
164,"Atlantic Gulf Airlines",\N,"","AGF","ATLANTIC GULF","United States","N"
165,"Aerolitoral",\N,"5D","SLI","COSTERA","Mexico","Y"
166,"Algoma Airways",\N,"","AGG","ALGOMA","Canada","N"
167,"Altagna",\N,"","AGH","ALTAGNA","France","N"
168,"Angola Air Charter",\N,"","AGO","ANGOLA CHARTER","Angola","N"
169,"Angola Air Charter",\N,"","AGO","ANGOLA CHARTER","Angola","N"
170,"AERFI Group",\N,"","AGP","AIR TARA","Ireland","N"
171,"Aerogala",\N,"","AGQ","GALASERVICE","Chile","N"
172,"Amadeus Global Travel Distribution",\N,"1A","AGT","AMADEUS","Spain","N"
173,"Angara Airlines",\N,"","AGU","SARMA","Russia","N"
174,"Air Glaciers",\N,"7T","AGV","AIR GLACIERS","Switzerland","Y"
175,"Aero Gambia",\N,"","AGW","AERO GAMBIA","Gambia","N"
176,"Aviogenex",\N,"","AGX","GENEX","Serbia","Y"
177,"Atlantic Coast Airlines",\N,"","BLR","BLUE RIDGE","United States","N"
178,"Aero Barloz",\N,"","BLZ","AEROLOZ","Mexico","N"
179,"Aeroper",\N,"PL","PLI","Aeroperu","Peru","Y"
180,"Atlas Blue",\N,"8A","BMM","ATLAS BLUE","Morocco","Y"
181,"Aero Banobras",\N,"","BNB","AEROBANOBRAS","Mexico","N"
182,"Aero Flight Service",\N,"","AGY","FLIGHT GROUP","United States","N"
183,"Agrolet-Mci",\N,"","AGZ","AGROLET","Slovakia","N"
184,"Air Alpha Greenland",\N,"GD","AHA","AIR ALPHA","Denmark","N"
185,"Azal Avia Cargo",\N,"","AHC","AZALAVIACARGO","Azerbaijan","N"
186,"Airport Helicopter Basel",\N,"","AHE"," Muller & Co.","AIRPORT HELICOPTER","N"
187,"Aeroservices Corporate",\N,"","CJE","BIRD JET","France","N"
188,"Aspen Helicopters",\N,"","AHF","ASPEN","United States","N"
189,"Aerochago Airlines",\N,"","AHG","AEROCHAGO","Dominican Republic","N"
190,"Airplanes Holdings",\N,"","AHH","AIRHOLD","Ireland","N"
191,"Air Hong Kong",\N,"LD","AHK","AIR HONG KONG","Hong Kong","N"
192,"Aerochiapas",\N,"","AHP","AEROCHIAPAS","Mexico","N"
193,"Air Adriatic",\N,"","AHR","ADRIATIC","Croatia","N"
194,"Air Viggi San Raffaele",\N,"","AHS","AIRSAR","Italy","N"
195,"ABC Air Hungary",\N,"","AHU","ABC HUNGARY","Hungary","N"
196,"Aeromist-Kharkiv",\N,"HT","AHW","AEROMIST","Ukraine","N"
197,"Azerbaijan Airlines",\N,"J2","AHY","AZAL","Azerbaijan","Y"
198,"Avies",\N,"U3","AIA","AVIES","Estonia","Y"
199,"Airbus Industrie",\N,"AP","AIB","AIRBUS INDUSTRIE","France","N"
200,"Alpine Air Chile",\N,"","AIH","ALPINE CHILE","Chile","N"
201,"Air Integra",\N,"","AII","INTEGRA","Canada","N"
202,"ABC Aerolineas",\N,"","AIJ","ABC AEROLINEAS","Mexico","N"
203,"African Airlines International Limited",\N,"","AIK","AFRICAN AIRLINES","Kenya","N"
204,"African International Airways",\N,"","AIN","FLY CARGO","Swaziland","N"
205,"Alpine Air Express",\N,"5A","AIP","ALPINE AIR","United States","N"
206,"Alicante Internacional Airlines",\N,"","AIU","ALIA","Spain","N"
207,"Aba Air",\N,"","ABP","BAIR","Czech Republic","N"
208,"Airblue",\N,"ED","ABQ","PAKBLUE","Pakistan","Y"
209,"Airmark Aviation",\N,"","THM","THAI AIRMARK","Thailand","N"
210,"Airlift International",\N,"","AIR","AIRLIFT","United States","Y"
211,"Airest",\N,"","AIT"," ","Estonia","N"
212,"Air Baffin",\N,"","BFF","AIR BAFFIN","Canada","N"
213,"Air Bandama",\N,"","BDM","BANDAMA","Ivory Coast","N"
214,"Air Berlin",\N,"AB","BER","AIR BERLIN","Germany","Y"
215,"Air Brousse",\N,"","ABT","AIR BROUSSE","Canada","N"
216,"Air Contractors",\N,"AG","ABR","CONTRACT","Ireland","N"
217,"Air Illinois",\N,"","AIL","AIR ILLINOIS","United States","N"
218,"Air India Limited",\N,"AI","AIC","AIRINDIA","India","Y"
219,"Air Inter Gabon",\N,"","AIG"," ","Gabon","N"
220,"Air Bourbon",\N,"ZB","BUB","BOURBON","Reunion","Y"
221,"Air Atlanta Icelandic",\N,"CC","ABD","ATLANTA","Iceland","Y"
222,"Air Inuit",\N,"","AIE","AIR INUIT","Canada","N"
223,"Air Sureste",\N,"","AIS","SURESTE","Spain","N"
224,"Air Srpska",\N,"RB","SBK","Air Srpska","Bosnia and Herzegovina","N"
225,"Air Tahiti Nui",\N,"TN","THT","TAHITI AIRLINES","France","Y"
226,"Airvias S/A Linhas Aereas",\N,"","AIV","AIRVIAS","Brazil","N"
227,"Aero Services Executive",\N,"W4","BES","BIRD EXPRESS","France","N"
228,"Atlantic Island Airways",\N,"","AIW","TARTAN","Canada","N"
229,"Aircruising Australia",\N,"","AIX","CRUISER","Australia","N"
230,"Aircrew Check and Training Australia",\N,"","AIY","AIRCREW","Australia","N"
231,"Arkia Israel Airlines",\N,"IZ","AIZ","ARKIA","Israel","Y"
232,"A J Services",\N,"","AJA","AYJAY SERVICES","United Kingdom","N"
233,"Aero JBR",\N,"","AJB","AERO JBR","Mexico","N"
234,"Aero Jet Express",\N,"","AJE","JET EXPRESS","Mexico","N"
235,"Avia Consult Flugbetriebs",\N,"","AJF","AVIACONSULT","Austria","N"
236,"Ameristar Jet Charter",\N,"","AJI","AMERISTAR","United States","N"
237,"A2 Jet Leasing",\N,"","AJJ","ATLANTIC JET","United States","N"
238,"Allied Air",\N,"","AJK","BAMBI","Nigeria","N"
239,"Air Jamaica",\N,"JM","AJM","JAMAICA","Jamaica","Y"
240,"Air One",\N,"AP","ADH","HERON","Italy","Y"
241,"Air Sahara",\N,"S2","RSH","SAHARA","India","Y"
242,"Air Malta",\N,"KM","AMC","AIR MALTA","Malta","Y"
243,"Aeroejecutivo",\N,"","AJO","AEROEXO","Mexico","N"
244,"Aero Jets Corporativos",\N,"","AJP","AEROJETS","Mexico","N"
245,"Aeroejecutivos Colombia",\N,"","AJS","AEROEJECUTIVOS","Colombia","N"
246,"Amerijet International",\N,"M6","AJT","AMERIJET","United States","N"
247,"Air Jetsul",\N,"","AJU","AIRJETSUL","Portugal","N"
248,"ANA & JP Express",\N,"","AJV","AYJAY CARGO","Japan","N"
249,"Alpha Jet International",\N,"","AJW","ALPHAJET","United States","N"
250,"Air Japan",\N,"NQ","AJX","AIR JAPAN","Japan","Y"
251,"Ajet",\N,"","AJY","AYJET","Cyprus","N"
252,"Air Korea Co. Ltd.",\N,"","AKA","","Republic of Korea","Y"
253,"Air Livonia",\N,"","LIV","LIVONIA","Estonia","N"
254,"Air BC",\N,"","ABL","AIRCOACH","Canada","N"
255,"Air Fret Senegal",\N,"","ABN"," ","Senegal","N"
256,"Air Jamahiriya Company",\N,"","LJA","AIR JAMAHIRIYA","Libya","N"
257,"Aktjubavia",\N,"","AKB","KARAB","Kazakhstan","N"
258,"Arca Aerovias Colombianas Ltda.",\N,"","AKC","ARCA","Colombia","N"
259,"Anikay Air Company",\N,"","AKF","ANIKAY","Kyrgyzstan","N"
260,"Akhal",\N,"","AKH","AKHAL","Turkmenistan","N"
261,"Aeromilenio",\N,"","MNI","AEROMIL","Mexico","N"
262,"Aklak Air",\N,"","AKK","AKLAK","Canada","N"
263,"Air Kiribati",\N,"4A","AKL","","Kiribati","Y"
264,"Alkan Air",\N,"","AKN","ALKAN AIR","Canada","N"
265,"Angkor Airways",\N,"","AKW","ANGKORWAYS","Cambodia","N"
266,"Air Nippon Network Co. Ltd.",\N,"EH","AKX","ALFA WING","Japan","N"
267,"AK Navigator LLC",\N,"","AKZ","ABSOLUTE","Kazakhstan","N"
268,"Aero Albatros",\N,"","ALB","ALBATROS","Mexico","N"
269,"Albion Aviation",\N,"","ALD","ALBION","United Kingdom","N"
270,"Aeroalas Colombia",\N,"","ALE","AEROALAS","Colombia","N"
271,"Allied Command Europe (Mobile Force)",\N,"","ALF","ACEFORCE","Belgium","N"
272,"Aerotaxis Albatros",\N,"","BTS","AEROLINEAS ALBATROS","Mexico","N"
273,"American Flyers",\N,"","FYS","AMERICAN FLYERS","United States","N"
274,"Aero Coach Aviation",\N,"","DFA","AERO COACH","United States","N"
275,"Atlantic Southeast Airlines",\N,"","CAA","Chandler","United States","N"
276,"ACM Air Charter",\N,"","BVR","BAVARIAN","Germany","N"
277,"Air Logistics",\N,"","ALG","AIRLOG","United States","N"
278,"Aerovallarta",\N,"","ALL","VALLARTA","Mexico","N"
279,"Air ALM",\N,"","ALM","ANTILLEAN","Netherlands Antilles","N"
280,"Air Lincoln",\N,"","ALN","CHICAGO LINCOLN","United States","N"
281,"America West Airlines",\N,"HP","AWE","CACTUS","United States","Y"
282,"Air Wisconsin",\N,"ZW","AWI","AIR WISCONSIN","United States","Y"
283,"Aerotransporte de Carga Union",\N,"","TNO","AEROUNION","Mexico","N"
284,"Aero Taxis Cessna",\N,"","TND","TAXIS CESSNA","Mexico","N"
285,"Arizona Express Airlines",\N,"","TMP","TEMPE","United States","N"
286,"Tatarstan Airlines",\N,"U9","TAK","TATARSTAN","Russia","Y"
287,"Allegheny Commuter Airlines",\N,"","ALO","ALLEGHENY","United States","Y"
288,"Alpliner AG",\N,"","ALP","ALPINER","Switzerland","N"
289,"Altair Aviation (1986)",\N,"","ALQ","ALTAIR","Canada","N"
290,"Air Luxor STP",\N,"","ALU","LUXORJET","Sao Tome and Principe","N"
291,"Alas de Venezuela",\N,"","ALV","ALVEN","Venezuela","N"
292,"Alas Nacionales",\N,"","ALW"," S.A.","ALNACIONAL","N"
293,"Alyeska Air Service",\N,"","ALY","ALYESKA","United States","N"
294,"Alta Flights (Charters) Ltd.",\N,"","ALZ"," ","Canada","N"
295,"Air Sunshine",\N,"","RSI","AIR SUNSHINE","United States","Y"
296,"ATMA",\N,"","AMA","ADIK","Kazakhstan","N"
297,"Aerolineas Medellin",\N,"","AMD","AEROLINEAS MEDELLIN","Colombia","N"
298,"Ameriflight",\N,"","AMF","AMFLIGHT","United States","N"
299,"Air Libert",\N,"VD","","","France","Y"
300,"Air Lithuania",\N,"TT","KLA","KAUNAS","Lithuania","N"
301,"Air Minas Linhas A",\N,"","AMG","AIR MINAS","Brazil","N"
302,"Alan Mann Helicopters Ltd.",\N,"","AMH","MANN","United Kingdom","N"
303,"Air Maldives",\N,"","AMI","AIR MALDIVES","Maldives","N"
304,"Aviation Amos",\N,"","AMJ","AVIATION AMOS","Canada","N"
305,"Amerer Air",\N,"","AMK","AMER AIR","Austria","N"
306,"Air Malawi",\N,"QM","AML","MALAWI","Malawi","Y"
307,"Aeroputul International Marculesti",\N,"","AMM","AEROM","Moldova","N"
308,"Air Montenegro",\N,"","AMN","MONTENEGRO","Montenegro","N"
309,"Air Montreal (Air Holdings Inc.)",\N,"","AMO","AIR MONTREAL","Canada","N"
310,"Aero Transporte S.A. (ATSA)",\N,"","AMP","ATSA","Peru","N"
311,"Aeromedicare Ltd.",\N,"","AMQ","LIFELINE","United Kingdom","N"
312,"Air Sicilia",\N,"BM","","","Italy","Y"
313,"Air Specialties Corporation",\N,"","AMR","AIR AM","United States","N"
314,"Air Muskoka",\N,"","AMS","AIR MUSKOKA","Canada","N"
315,"ATA Airlines",\N,"TZ","AMT","AMTRAN","United States","Y"
316,"Air Macau",\N,"NX","AMU","AIR MACAO","Macao","Y"
317,"AMC Airlines",\N,"","AMV","","Egypt","Y"
318,"Air Midwest",\N,"ZV","AMW","AIR MIDWEST","United States","N"
319,"Air Seychelles",\N,"HM","SEY","SEYCHELLES","Seychelles","Y"
320,"Air Sofia",\N,"","SFB","AIR SOFIA","Bulgaria","N"
321,"AeroMéxico",\N,"AM","AMX","AEROMEXICO","Mexico","Y"
322,"Air Ambar",\N,"","AMY","AIR AMBAR","Dominican Republic","N"
323,"Amiya Airline",\N,"","AMZ","AMIYA AIR","Nigeria","N"
324,"All Nippon Airways","ANA All Nippon Airways","NH","ANA","ALL NIPPON","Japan","Y"
325,"Air Navigation And Trading Co. Ltd.",\N,"","ANB","AIR NAV","United Kingdom","N"
326,"Anglo Cargo",\N,"","ANC","ANGLO","United Kingdom","N"
327,"Air Nostrum",\N,"YW","ANE","AIR NOSTRUM","Spain","Y"
328,"Air Niugini",\N,"PX","ANG","NUIGINI","Papua New Guinea","Y"
329,"Air Arabia",\N,"G9","ABY","ARABIA","United Arab Emirates","Y"
330,"Air Canada",\N,"AC","ACA","AIR CANADA","Canada","Y"
331,"Airport Bratsk",\N,"","BRP","AEROBRA","Russia","N"
332,"Air Wings",\N,"","BSB","ARBAS","Moldova","N"
333,"Air Baltic",\N,"BT","BTI","AIRBALTIC","Latvia","Y"
334,"Alajnihah for Air Transport",\N,"","ANH","ALAJNIHAH","Libya","N"
335,"Air Atlantic (Nig) Limited",\N,"","ANI","NIGALANTIC","Nigeria","N"
336,"Air Nippon",\N,"EL","ANK","ANK AIR","Japan","Y"
337,"Antares Airtransport",\N,"","ANM"," Maintenance & Service GmbH","ANTARES","N"
338,"Airnorth",\N,"TL","ANO","TOPEND","Australia","Y"
339,"Aerol",\N,"","ANQ","ANTIOQUIA","Colombia","N"
340,"Andes Lineas Aereas",\N,"","ANS","AEROANDES","Argentina","N"
341,"Air North Charter - Canada",\N,"4N","ANT","AIR NORTH","Canada","Y"
342,"Air Nevada",\N,"","ANV","AIR NEVADA","United States","N"
343,"AOM French Airlines",\N,"IW","AOM","French Lines","France","N"
344,"Aviacion Del Noroeste",\N,"","ANW"," S.A. de C.V.","AVINOR","N"
345,"Air New Zealand",\N,"NZ","ANZ","NEW ZEALAND","New Zealand","Y"
346,"Avia Jaynar",\N,"","SAP","TOBOL","Kazakhstan","N"
347,"Aero Servicios Empresariales",\N,"","EMS","SERVIEMPRESARIAL","Mexico","N"
348,"Alcon Servicios Aereos",\N,"","AOA"," S.A. de C.V.","ALCON","N"
349,"AVCOM",\N,"J6","AOC","AERO AVCOM","Russia","N"
350,"Aero Vodochody",\N,"","AOD","AERO CZECH","Czech Republic","N"
351,"Air One Executive",\N,"","AOE"," ","Italy","N"
352,"Atair Pty Ltd.",\N,"","AOF","ATAIR","South Africa","N"
353,"Aero VIP",\N,"2D","AOG","AVIP","Argentina","N"
354,"Aeromundo Ejecutivo",\N,"","MUN","AEROMUNDO","Mexico","N"
355,"Aerolinea Muri",\N,"","MUR","MURI","Mexico","N"
356,"Astoria",\N,"","AOI"," Inc.","ASTORIA","N"
357,"Aero Rent JSC",\N,"","NRO","AEROMASTER","Russia","N"
358,"Aeronord-Grup",\N,"","NRP","AERONORD","Moldova","N"
359,"Aeroatlantico Colombia",\N,"","AOK","","Colombia","N"
360,"Angkor Airlines",\N,"","AOL","ANGKOR AIR","Cambodia","N"
361,"Aero Entreprise",\N,"","AON","AERO ENTERPRISE","France","N"
362,"As",\N,"","AOO"," Opened Joint Stock Company","COMPANY AS","N"
363,"Aeropiloto",\N,"","AOP","AEROPILOTO","Portugal","N"
364,"Aeroenlaces Nacionales",\N,"","VIV","AEROENLACES","Mexico","N"
365,"Aerovis Airlines",\N,"","VIZ","AEROVIZ","Ukraine","N"
366,"Avjet International (FZE)",\N,"","VJE","","United Arab Emirates","N"
367,"Aerovista Gulf Express",\N,"","VGF","VISTA GULF","United Arab Emirates","N"
368,"Air Vegas",\N,"6V","VGA","AIR VEGAS","United States","N"
369,"Almaver",\N,"","VER","ALMAVER","Mexico","N"
370,"Afro International Ent. Limited",\N,"","AOR","INTER-AFRO","Nigeria","N"
371,"Alitalia Express",\N,"XM","SMX","ALIEXPRESS","Italy","Y"
372,"Asia Overnight Express",\N,"OE","AOT","ASIA OVERNIGHT","Philippines","N"
